gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LINC01128,0.951004039,0.424618053,0.85122327,0.49883276,0.617897207,0.999673974
NOC2L,4.520974602,0.21984805,0.394260489,0.55762131,0.577103001,0.999673974
KLHL17,0.891931827,0.932290468,0.856515678,1.088468655,0.276388267,0.999673974
ISG15,12.46459305,0.225106442,0.365634662,0.615659469,0.538119293,0.999673974
C1orf159,1.011993587,0.340969648,0.848173343,0.402004673,0.687680587,0.999673974
TNFRSF18,0.82805792,1.452619398,1.507429646,0.96363993,0.33522648,0.999673974
TNFRSF4,0.591564743,-0.921330506,1.349937088,-0.682498846,0.494923572,0.999673974
SDF4,12.32217438,0.017576853,0.24531082,0.071651354,0.94287937,0.999673974
B3GALT6,2.033097703,-1.039805626,0.635433427,-1.636372248,0.101761704,0.999673974
UBE2J2,6.797646697,0.035437044,0.350211362,0.101187591,0.919401547,0.999673974
ACAP3,1.799682222,-0.529769559,0.615225841,-0.861097704,0.389184233,0.999673974
PUSL1,1.91309372,-0.559074053,0.648050267,-0.862701677,0.38830151,0.999673974
INTS11,9.981912945,0.144669282,0.278388732,0.519666443,0.603296079,0.999673974
CPTP,1.763789791,0.451270946,0.771107576,0.585224371,0.55839686,0.999673974
DVL1,0.775423646,0.142343622,0.919908092,0.154736786,0.877028828,0.999673974
AURKAIP1,16.77019724,-0.154366153,0.209129668,-0.73813608,0.46043176,0.999673974
CCNL2,5.586541302,0.010942209,0.370247534,0.029553767,0.976422938,0.999673974
MRPL20-AS1,1.943407169,-0.416089312,0.677312745,-0.61432376,0.539001405,0.999673974
MRPL20,17.17475191,0.007204822,0.223883109,0.032181178,0.974327566,0.999673974
ATAD3B,0.987237481,0.713992699,0.805880596,0.885978274,0.375629235,0.999673974
ATAD3A,1.192676638,0.113891531,0.806488565,0.141219028,0.887696915,0.999673974
SSU72,19.56755599,-0.255216343,0.241691736,-1.055958084,0.290987366,0.999673974
FNDC10,0.829865743,-0.115085309,0.954999172,-0.120508282,0.90408052,0.999673974
MIB2,9.705999037,-0.282545667,0.285493853,-0.989673381,0.32233379,0.999673974
MMP23B,2.247401698,0.436160191,0.611840817,0.71286547,0.475929008,0.999673974
CDK11B,8.662685489,-0.211588684,0.291299093,-0.726362315,0.467616687,0.999673974
SLC35E2B,3.284589533,0.097777371,0.453578847,0.215568631,0.829324009,0.999673974
CDK11A,8.269509329,0.105150317,0.322980464,0.325562467,0.744755413,0.999673974
SLC35E2A,0.967253825,-0.133340659,0.789357622,-0.168923002,0.865857206,0.999673974
NADK,3.038835272,-0.174800272,0.547432339,-0.319309365,0.749491932,0.999673974
GNB1,19.66838425,-0.060981617,0.213370461,-0.285801588,0.775030092,0.999673974
PRKCZ,1.45015912,-1.488467359,0.785007813,-1.896117891,0.057944457,0.999673974
FAAP20,12.60492247,0.217062496,0.242201934,0.896204635,0.370143481,0.999673974
SKI,0.896812934,-0.48690253,0.803835993,-0.605723722,0.544698229,0.999673974
RER1,16.45971642,-0.213330737,0.213891946,-0.997376206,0.318581936,0.999673974
PEX10,1.081334704,0.171375439,0.983346346,0.174277801,0.861647144,0.999673974
PANK4,1.903296603,-0.270770141,0.614682837,-0.440503825,0.659572242,0.999673974
AL139246.5,4.489477059,0.234807937,0.461548078,0.508739931,0.610934529,0.999673974
TNFRSF14-AS1,0.450668654,-0.522298365,1.200092681,-0.435215024,0.663406358,0.999673974
TNFRSF14,20.40703047,-0.073133368,0.264114059,-0.276900699,0.781856356,0.999673974
PRXL2B,0.671312457,-0.404641753,0.975942285,-0.414616478,0.678422683,0.999673974
TPRG1L,7.754949751,0.133773001,0.321116573,0.416587036,0.676980493,0.999673974
WRAP73,3.938157829,0.260844661,0.410697995,0.635125235,0.52534674,0.999673974
LRRC47,3.817280971,0.265611858,0.426652077,0.622549081,0.533580881,0.999673974
CEP104,3.283089124,-0.13363474,0.463455661,-0.288344175,0.773083296,0.999673974
DFFB,1.183619488,-0.520656625,0.804564246,-0.647128713,0.517548644,0.999673974
C1orf174,4.300628866,0.366100138,0.386739856,0.946631521,0.343826576,0.999673974
AL365255.1,0.211183673,0.680989906,1.454263393,0.468271366,0.639590542,0.999673974
NPHP4,0.264418174,0.3373515,1.533362881,0.220007608,0.825865229,0.999673974
KCNAB2,12.51758265,0.101106747,0.296672092,0.340803026,0.733251872,0.999673974
RPL22,174.4212326,-0.20196842,0.156945114,-1.286872942,0.198138578,0.999673974
ICMT,1.786561191,-0.113883533,0.624958585,-0.182225728,0.855405583,0.999673974
ACOT7,2.999095105,-0.378620674,0.560962205,-0.674948635,0.4997084,0.999673974
TNFRSF25,1.520880922,-1.736679637,0.7275535,-2.387012963,0.016985892,0.760220801
NOL9,2.809457297,-0.010245516,0.492491496,-0.020803438,0.983402456,0.999673974
ZBTB48,2.096291605,-0.354034972,0.584095667,-0.606124975,0.544431768,0.999673974
KLHL21,1.417353948,0.311813736,0.773050595,0.403354888,0.686687168,0.999673974
PHF13,0.917221239,0.753296505,0.923715108,0.815507399,0.414781931,0.999673974
THAP3,1.872294933,-0.732325073,0.707585617,-1.034963197,0.300686099,0.999673974
